model,L1,L2,corr,synch corr,synch ARI,ph caus corr,ph caus ARI,ph amp corr,ph amp ARI
GISSE2Hp3_0,305.46307966640796,46.989556704485423,0.3646814404996388,0.23730889818000783,0.20238015434274789,0.24622084955794502,0.21152323949577745,0.03927616281204447,0.034306471815447159
GISSE2Hp3_1,267.3648792830287,36.561729827465818,0.4591506660641031,0.28079987594422667,0.22263112335363344,0.2587709792839466,0.22724080351178816,0.0071213998411783106,0.00616861727141765
GISSE2Hp3_2,266.40120898828621,34.656728730675681,0.28935454152793472,0.22223465800482398,0.19040822029196286,0.21401029211515998,0.18611174829370131,0.00091629691806928177,0.0007807688513286309
GISSE2Hp3_3,307.33728018287604,42.73371938841963,0.21410398266491396,0.15240733558646122,0.12850698791176349,0.14484008378159133,0.12277844308320141,-0.03853529262398727,-0.032884752096478287
GISSE2Hp3_4,287.15313868593665,38.966915371300331,0.24549994444078152,0.037825779910099604,0.028745156763283961,0.14745625380230606,0.12514818458502591,-0.006067734253883841,-0.0052773070322689949
GISSE2Hp3_5,299.08570436319809,40.120327718376316,0.23383469982924213,0.11872776035320474,0.09968882265197658,0.14335906096781095,0.12333930366909394,0.035213809500530754,0.030689946587261686
GISSE2Hp3_ens_mean,288.80088186162232,40.004829623453865,0.3011042125044357,0.174884051329804,0.14539341088589472,0.19244291991812668,0.16602362043976471,0.0063207736989919503,0.0056306242327846421
GISSE2Hp3_ens_std,18.390035787098732,4.4222387297623911,0.094175221926980898,0.089219734242968765,0.073783957713418127,0.053769292472523753,0.048133541812932203,0.028692355693413413,0.024805247765133175
GISSE2Rp1_0,150.93228810803689,19.67488680143811,0.77369337377680958,0.23616255591155288,0.20240278760597691,0.2078812996726058,0.17541700485361611,-0.0064727825891555636,-0.0055282935050542095
GISSE2Rp1_1,150.93228810803689,19.67488680143811,0.77369337377680958,0.22963345429476076,0.19695465045559735,0.19254386743829027,0.16126623628326031,-0.012400969310272729,-0.010563777471011568
GISSE2Rp1_2,233.87045648317849,31.47744330285229,0.60324892933806229,0.27591607128463813,0.2360855719597561,0.13712438100386237,0.11727084408954022,-0.014828660811605813,-0.012193773193520455
GISSE2Rp1_3,165.82428047472283,24.140754521149315,0.65403993498615098,0.20153509471413686,0.15625709426193657,0.13150210863843717,0.11126784324393922,-0.030326582599249304,-0.024539050907701618
GISSE2Rp1_4,223.57280662493071,30.954705801484444,0.52920737726321854,0.1995547547835107,0.1625946573853661,0.10054194188903159,0.085223225633784525,-0.033708192277124731,-0.029132392864542674
GISSE2Rp1_5,211.44806386235521,28.782519133904774,0.53450930591037227,0.30041861165211031,0.25880826785392996,0.20981957429965681,0.18246216566011275,-0.0011616383263886182,-0.001013074073251371
GISSE2Rp1_ens_mean,189.4300306102102,25.784199393711173,0.64473204917523719,0.24053675710678499,0.20218383825376049,0.16323552882364731,0.13881788662737551,-0.016483137652299463,-0.013828393669180315
GISSE2Rp1_ens_std,37.807031592128659,5.3941708488996492,0.11005865291642503,0.040438106304832744,0.04014876081570902,0.046133685523281544,0.039607864292519168,0.01298229884805137,0.010912234894409662
GISSE2Rp2_0,263.72718437299278,36.425409444929876,0.23565753987438448,0.19712567757661761,0.16543800606195549,0.14880709746191192,0.11817709494975015,0.038046052742788154,0.030505828948549672
GISSE2Rp2_1,195.15490741957623,26.741381365569946,0.56366084480664969,0.17273692090689224,0.1458614135685794,0.19293015210462472,0.16738034002146177,-0.0025082463219042311,-0.0018379684037400483
GISSE2Rp2_2,296.744066138395,38.063572995711404,0.19701199205157963,0.17945606930669805,0.14995670534906502,0.20418604606321863,0.17710706258855433,0.057166382294765013,0.049952224137849083
GISSE2Rp2_3,182.57383216701828,26.229783592003358,0.65056944827650476,0.148032409936799,0.12486900123650443,0.19195722651659763,0.1658275131026101,0.014424809828974986,0.011381034194242228
GISSE2Rp2_4,202.82952419939875,27.794085634344853,0.534626280588272,0.15438979105425005,0.13018447177557349,0.13648280653346009,0.11590163657756367,0.04139490998354084,0.036124906320648631
GISSE2Rp2_5,179.11927216229714,25.066376900787503,0.64718724052264032,0.13417456144710066,0.10743524865469031,0.11620325549351515,0.099264803352424699,-0.026131017978521246,-0.022316902240392116
GISSE2Rp2_ens_mean,220.02479774327969,30.053434988891155,0.47145222435333839,0.16431923837139295,0.1372908077743947,0.16509443069555471,0.14060974176539412,0.020398815091607254,0.017301520492859573
GISSE2Rp2_ens_std,48.550531331443388,5.662681104307433,0.2031628613774755,0.023016514656699589,0.020602430516003186,0.036052297711610524,0.033189677271625036,0.031079133071826269,0.026704807347867388
GISSE2Rp3_0,202.87804430466898,25.051641781207813,0.59112366215831003,0.13849297691263623,0.11271635772908388,0.17934466861530096,0.15503150909844302,0.0025958206108584484,0.0022338139624169112
GISSE2Rp3_1,345.19104398385599,42.49687414017621,-0.036084399594078435,0.22146435347900428,0.1897672940238106,0.21541687600760065,0.18517151255021094,0.030422262229518906,0.026419649034394924
GISSE2Rp3_2,167.3675694819544,23.747377258696545,0.70139709701791697,0.20125700864822452,0.17132327114864757,0.23370169638299435,0.20401666076557995,0.021485350323524569,0.0183662171776303
GISSE2Rp3_3,241.35641492284893,31.245324399051317,0.31901446201713335,0.2595437880114978,0.22154640422731933,0.15295459389652319,0.1268812425177723,0.010997914165283161,0.0095552864139324869
GISSE2Rp3_4,224.61637919103057,32.694058260664299,0.38940812677151188,0.12222990696583055,0.10210084628466104,0.23370213628302852,0.20135512102132508,0.035333979731785488,0.029841762803911442
GISSE2Rp3_5,193.889842210171,24.095040514963674,0.65510104035205496,0.17958917706547758,0.15187489959538897,0.17777727670718441,0.15390708599297831,-0.019872750843848496,-0.017175682331772031
GISSE2Rp3_ens_mean,229.21654901575502,29.888386059126642,0.43665999812047485,0.18709620184711184,0.15822151216815186,0.19881620798210534,0.1710605219910516,0.013493762702853677,0.011540174510085674
GISSE2Rp3_ens_std,62.266541100788132,7.257492497299892,0.27612378421764522,0.051491001434475825,0.045688865397275097,0.033569845380392038,0.030678879456463946,0.020326107727842248,0.017424639544363209
HadGem2ES_0,323.42947305472558,53.662921525525185,0.13415789247457513,-0.01071100546592004,-0.0087866263941232241,-0.0018113172069099915,-0.0015349508621078484,-0.018032144522493392,-0.013948837956772257
HadGem2ES_1,218.69372387502276,33.728011756756679,0.66079588331136019,0.19021221903145405,0.14399252996815434,0.088505901689194463,0.069856243674560406,0.022114979799302575,0.019097342837584387
HadGem2ES_2,546.58746865545459,99.958274354775384,-0.15442495699917927,-0.059954985076724018,-0.047424571115987441,-0.010412501621827228,-0.0086481650112705984,0.028096410337683279,0.024345624576068137
HadGem2ES_3,201.72479115414058,28.162976939556025,0.77252901163138821,-0.04502451682692394,-0.036244609208770845,-0.045977862317974925,-0.038285891578655959,-0.02639573955446738,-0.022556195278786467
HadGem2ES_ens_mean,322.60886418483591,53.878046144153316,0.35326445760453606,0.018630427915471509,0.012884180812318208,0.0075760551356205772,0.0053468090556315004,0.0014458765150062716,0.00173448354452345
HadGem2ES_ens_std,158.72240354113197,32.612484217729893,0.43822162301903822,0.11623087639228322,0.088900331216918732,0.057240350195541738,0.045856652146276732,0.027640620304832841,0.023443095874828745
IPSL_CM5A_LR_0,245.36181126805789,36.882926797092445,0.66573104762559587,0.00040263668527368014,0.00028829272908102336,-0.029026690452911411,-0.024227479819747936,0.0027417058225728376,0.0023683678274835098
IPSL_CM5A_LR_1,228.2095812283616,39.033476338607819,0.44644253808642814,-0.028338576455011116,-0.021406037200374445,-0.0057387023846227209,-0.0046245591275772997,-0.034166403787252733,-0.028915523837939223
IPSL_CM5A_LR_2,117.71319963349269,14.947248115632867,0.910576477734514,-0.059387713129036714,-0.047523655179755299,-0.018956114076939791,-0.015680235136097183,-0.015294379212590936,-0.011011155531400934
IPSL_CM5A_LR_3,220.37792097665766,29.348792239180018,0.4984430312345306,0.058450277628690192,0.043701300171964191,-0.0064466375925402719,-0.0052689285660537811,0.012508432154313156,0.01058022826899168
IPSL_CM5A_LR_4,164.27340489213424,21.444713284399068,0.77557143341758794,0.0062264851387665854,0.0044050229492388661,0.03177336099669123,0.026780615354975466,0.0085277414023640294,0.0073954936872150387
